sku,name,cost,Platform Overlap,Both,Only Zoey
OFJP12,Frog Jig Pickerel 1/2 oz,3.21,Only Zoey,,
OFJC38,Frog Jig Chorus 3/8 oz,3.21,Only Zoey,,
OFJC12,Frog Jig Chorus 1/2 oz,3.21,Only Zoey,,
OCS38BG,Chicken Spinner 3/8oz Bluegill,9.5,Only Zoey,,
OCS38WC,Chicken Spinner 3/8oz White Chartruese,9.5,Only Zoey,,
OCS14BG,Chicken Spinner 1/4oz Bluegill,9.5,Only Zoey,,
OCS14WC,Chicken Spinner 1/4oz White Chartruese,9.5,Only Zoey,,
OSNT31640B,Shake N' Take 3/16oz (4/0) Black 3pk,2,Both,,
OSNT1440B,Shake N' Take 1/4oz (4/0) Black 3pk,2,Both,,
OSNT3850B,Shake N' Take 3/8oz (5/0) Black 2pk,2,Both,,
OSNT31640GP,Shake N' Take 3/16oz (4/0) Green Pumpkin 3pk,2,Both,,
OSNT1440GP,Shake N' Take 1/4oz (4/0) Green Pumpkin 3pk,2,Both,,
OSNT3850GP,Shake N' Take 3/8oz (5/0) Green Pumpkin 2pk,2,Both,,
OCCJ58A,Check Collector Jig 5/8 oz Albino,3,Only Zoey,,
OCCJ58BB,Check Collector Jig 5/8 oz Black & Blue,3,Only Zoey,,
OCCJ58PBJ,Check Collector Jig 5/8 oz PB&J,3,Only Zoey,,
OCCJ58GOLD,Check Collector Jig 5/8 oz Gold Standard,3,Only Zoey,,
OCCJ34A,Check Collector Jig 3/4 oz Albino,3,Only Zoey,,
OCCJ34BB,Check Collector Jig 3/4 oz Black & Blue,3,Only Zoey,,
OCCJ34PBJ,Check Collector Jig 3/4 oz PB&J,3,Only Zoey,,
OCCJ34GOLD,Check Collector Jig 3/4 oz Gold Standard,3,Only Zoey,,
OBSJ14BB,Business Skipping Jig 1/4 oz Black Blue,2.5,Only Zoey,,
OBSJ14BG,Business Skipping Jig 1/4 oz Bluegill,2.5,Only Zoey,,
OBSJ14GP,Business Skipping Jig 1/4 oz Green Pumpkin,2.5,Only Zoey,,
OBSJ14GPC,Business Skipping Jig 1/4 oz Green Pumpkin Craw,2.5,Only Zoey,,
OBSJ14PPJ,Business Skipping Jig 1/4 oz PP&J,2.5,Only Zoey,,
OBSJ38BB,Business Skipping Jig 3/8 oz Black Blue,2.5,Only Zoey,,
OBSJ38BG,Business Skipping Jig 3/8 oz Bluegill,2.5,Only Zoey,,
OBSJ38GP,Business Skipping Jig 3/8 oz Green Pumpkin,2.5,Only Zoey,,
OBSJ38GPC,Business Skipping Jig 3/8 oz Green Pumpkin Craw,2.5,Only Zoey,,
OBSJ38PPJ,Business Skipping Jig 3/8 oz PP&J,2.5,Only Zoey,,
OBSJ12BB,Business Skipping Jig 1/2 oz Black Blue,2.5,Only Zoey,,
OBSJ12BG,Business Skipping Jig 1/2 oz Bluegill,2.5,Only Zoey,,
OBSJ12GP,Business Skipping Jig 1/2 oz Green Pumpkin,2.5,Only Zoey,,
OBSJ12GPC,Business Skipping Jig 1/2 oz Green Pumpkin Craw,2.5,Only Zoey,,
OBSJ12PPJ,Business Skipping Jig 1/2 oz PP&J,2.5,Only Zoey,,
OGE1810,Glimmer Eye 1/8 oz 1/0,2,Only Zoey,,
OGE1820,Glimmer Eye 1/8 oz 2/0,2,Only Zoey,,
OGE31620,Glimmer Eye 3/16 oz 2/0,2,Only Zoey,,
OGE31630,Glimmer Eye 3/16 oz 3/0,2,Only Zoey,,
OGE1410,Glimmer Eye 1/4 oz 1/0,2,Only Zoey,,
OGE1420,Glimmer Eye 1/4 oz 2/0,2,Only Zoey,,
OGE1430,Glimmer Eye 1/4 oz 3/0,2,Only Zoey,,
OGE3810,Glimmer Eye 3/8 oz 1/0,2,Only Zoey,,
OGE3820,Glimmer Eye 3/8 oz 2/0,2,Only Zoey,,
OGE3830,Glimmer Eye 3/8 oz 3/0,2,Only Zoey,,
OPC7GO,Poppin Craw 7 Grams Olive,4.17,Both,,
OPC7GR,Poppin Craw 7 Grams Rust,4.17,Both,,
OPC7GLO,Poppin Craw 7 Grams Light Olive,4.17,Both,,
OPC7GBR,Poppin Craw 7 Grams Brown,4.17,Both,,
OPC7GT,Poppin Craw 7 Grams Tan,4.17,Both,,
OPC11GO,Poppin Craw 11 Grams Olive,4.17,Both,,
OPC11GR,Poppin Craw 11 Grams Rust,4.17,Both,,
OPC11GLO,Poppin Craw 11 Grams Light Olive,4.17,Both,,
OPC11GBR,Poppin Craw 11 Grams Brown,4.17,Both,,
OPC11GT,Poppin Craw 11 Grams Tan,4.17,Both,,
