sku,name,cost,Platform Overlap,Both,Only Zoey
OGSH1830UN,Golden Eye Swimmer Head 1/8oz (3/0)Unpainted - 2pk,1.82,Both,,
OGSH1830W,Golden Eye Swimmer Head 1/8oz (3/0) White - 2pk,1.82,Both,,
OGSH1840GP,Golden Eye Swimmer Head 1/8oz (4/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH1840UN,Golden Eye Swimmer Head 1/8oz (4/0) Unpainted - 2pk,1.82,Both,,
OGSH1840W,Golden Eye Swimmer Head 1/8oz (4/0) White - 2pk,1.82,Both,,
OGSH31620GP,Golden Eye Swimmer Head 3/16oz (2/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH31620UN,Golden Eye Swimmer Head 3/16oz (2/0) Unpainted - 2pk,1.82,Both,,
OGSH31620W,Golden Eye Swimmer Head 3/16oz (2/0) White - 2pk,1.82,Both,,
OGSH31630GP,Golden Eye Swimmer Head 3/16oz (3/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH31630UN,Golden Eye Swimmer Head 3/16oz (3/0) Unpainted - 2pk,1.82,Both,,
OGSH31630W,Golden Eye Swimmer Head 3/16oz (3/0) White - 2pk,1.82,Both,,
OGSH1410GP,Golden Eye Swimmer Head 1/4oz (1/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH1410UN,Golden Eye Swimmer Head 1/4oz (1/0) Unpainted - 2pk,1.82,Both,,
OGSH1410W,Golden Eye Swimmer Head 1/4oz (1/0) White - 2pk,1.82,Both,,
OGSH1430GP,Golden Eye Swimmer Head 1/4oz (3/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH1430UN,Golden Eye Swimmer Head 1/4oz (3/0) Unpainted - 2pk,1.82,Both,,
OGSH1430W,Golden Eye Swimmer Head 1/4oz (3/0) White - 2pk,1.82,Both,,
OGSH1440GP,Golden Eye Swimmer Head 1/4oz (4/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH1440UN,Golden Eye Swimmer Head 1/4oz (4/0) Unpainted - 2pk,1.82,Both,,
OGSH1440W,Golden Eye Swimmer Head 1/4oz (4/0) White - 2pk,1.82,Both,,
OGSH3810GP,Golden Eye Swimmer Head 3/8oz (1/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH3810UN,Golden Eye Swimmer Head 3/8oz (1/0) Unpainted - 2pk,1.82,Both,,
OGSH3810W,Golden Eye Swimmer Head 3/8oz (1/0) White - 2pk,1.82,Both,,
OGSH3830GP,Golden Eye Swimmer Head 3/8oz (3/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH3830UN,Golden Eye Swimmer Head 3/8oz (3/0) Unpainted - 2pk,1.82,Both,,
OGSH3830W,Golden Eye Swimmer Head 3/8oz (3/0) White - 2pk,1.82,Both,,
OGSH3840GP,Golden Eye Swimmer Head 3/8oz (4/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH3840UN,Golden Eye Swimmer Head 3/8oz (4/0) Unpainted - 2pk,1.82,Both,,
OGSH3840W,Golden Eye Swimmer Head 3/8oz (4/0) White - 2pk,1.82,Both,,
OGSH3850GP,Golden Eye Swimmer Head 3/8oz (5/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH3850UN,Golden Eye Swimmer Head 3/8oz (5/0) Unpainted - 2pk,1.82,Both,,
OGSH3850W,Golden Eye Swimmer Head 3/8oz (5/0) White - 2pk,1.82,Both,,
OGSH1240GP,Golden Eye Swimmer Head 1/2oz (4/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH1240UN,Golden Eye Swimmer Head 1/2oz (4/0) Unpainted - 2pk,1.82,Both,,
OGSH1240W,Golden Eye Swimmer Head 1/2oz (4/0) White - 2pk,1.82,Both,,
OGSH1250GP,Golden Eye Swimmer Head 1/2oz (5/0) Green Pumpkin - 2pk,1.82,Both,,
OGSH1250UN,Golden Eye Swimmer Head 1/2oz (5/0) Unpainted - 2pk,1.82,Both,,
OGSH1250W,Golden Eye Swimmer Head 1/2oz (5/0) White - 2pk,1.82,Both,,
OMJ1830BLK,Money Jig 1/8oz (3/0) Black - 4pk,2.36,Both,,
OMJ1830CHT,Money Jig 1/8oz (3/0) Chart.  - 4pk,2.36,Both,,
OMJ1830GP,Money Jig 1/8oz (3/0) Green Pumpkin - 4pk,2.36,Both,,
OMJ31640BLK,Money Jig 3/16oz (4/0) Black - 4pk,2.36,Both,,
OMJ31640CHT,Money Jig 3/16oz (4/0) Chart. - 4pk,2.36,Both,,
OMJ31640GP,Money Jig 3/16oz (4/0) Green Pumpkin - 4pk,2.36,Both,,
OPN11610BLK,Perfect Ned Head 1/16oz (1/0) Black - 3pk.,2.14,Both,,
OPN11610GP,Perfect Ned Head 1/16oz (1/0) Green Pumpkin - 3pk.,2.14,Both,,
OPN11620BLK,Perfect Ned Head 1/16oz (2/0) Black - 3pk.,2.14,Both,,
OPN11620GP,Perfect Ned Head 1/16oz (2/0) Green Pumpkin - 3pk.,2.14,Both,,
OPN33210BLK,Perfect Ned Head 3/32oz (1/0) Black - 3pk.,2.14,Both,,
OPN33210GP,Perfect Ned Head 3/32oz (1/0) Green Pumpkin - 3pk.,2.14,Both,,
OPN33220BLK,Perfect Ned Head 3/32oz (2/0) Black - 3pk.,2.14,Both,,
OPN33220GP,Perfect Ned Head 3/32oz (2/0) Green Pumpkin - 3pk.,2.14,Both,,
OPN18010BLK,Perfect Ned Head 1/8oz (1/0) Black - 3pk.,2.14,Both,,
OPN18010GP,Perfect Ned Head 1/8oz (1/0) Green Pumpkin - 3pk.,2.14,Both,,
OPN18020BLK,Perfect Ned Head 1/8oz (2/0) Black - 3pk.,2.14,Both,,
OPN18020GP,Perfect Ned Head 1/8oz (2/0) Green Pumpkin - 3pk.,2.14,Both,,
OPN31610BLK,Perfect Ned Head 3/16oz (1/0) Black - 3pk.,2.14,Both,,
OPN31610GP,Perfect Ned Head 3/16oz (1/0) Green Pumpkin - 3pk.,2.14,Both,,
OPN31620BLK,Perfect Ned Head 3/16oz (2/0) Black - 3pk.,2.14,Both,,
OPN31620GP,Perfect Ned Head 3/16oz (2/0) Green Pumpkin - 3pk.,2.14,Both,,
OPN14020BK,Perfect Ned Head 1/4oz (2/0) Black - 3pk.,2.14,Both,,
OPN14020GP,Perfect Ned Head 1/4oz (2/0) Green Pumpkin - 3pk.,2.14,Both,,
OPW11610GP,Perfect Ned Head WL 1/16oz (1/0) Green Pumpkin - 3pk.,2.4,Both,,
OPW11620GP,Perfect Ned Head WL 1/16oz (2/0) Green Pumpkin - 3pk.,2.4,Both,,
OPW33210GP,Perfect Ned Head WL 3/32oz (1/0) Green Pumpkin - 3pk.,2.4,Both,,
OPW33220GP,Perfect Ned Head WL 3/32oz (2/0) Green Pumpkin - 3pk.,2.4,Both,,
OPW18010GP,Perfect Ned Head WL /8oz (1/0) Green Pumpkin - 3pk.,2.4,Both,,
OPW18020GP,Perfect Ned Head WL 1/8oz (2/0) Green Pumpkin - 3pk.,2.4,Both,,
OPW31610GP,Perfect Ned Head WL 3/16oz (1/0) Green Pumpkin - 3pk.,2.4,Both,,
OPW31620GP,Perfect Ned Head WL 3/16oz (2/0) Green Pumpkin - 3pk.,2.4,Both,,
OSJ14AS,Pro Swim Jig 1/4oz Alabama Shad,2.16,Both,,
OSJ14BB,Pro Swim Jig 1/4oz Black /Blue,2.16,Both,,
OSJ14BG,Pro Swim Jig 1/4oz Bold Gill,2.16,Both,,
OSJ14DM,Pro Swim Jig 1/4oz Dirty Money,2.16,Both,,
OSJ14GS,Pro Swim Jig 1/4oz Ghost Shad,2.16,Both,,
OSJ14MGC,Pro Swim Jig 1/4oz Magic Craw,2.16,Both,,
OSJ14PR,Pro Swim Jig 1/4oz Perch,2.16,Both,,
OSJ14SC,Pro Swim Jig 1/4oz Shell Cracker,2.16,Both,,
OSJ14WL,Pro Swim Jig 1/4oz White Lightning,2.16,Both,,
OSJ14WR,Pro Swim Jig 1/4oz White/Rainbow,2.16,Both,,
OSJ38AS,Pro Swim Jig 3/8oz Alabama Shad,2.16,Both,,
OSJ38BB,Pro Swim Jig 3/8oz Black /Blue,2.16,Both,,
OSJ38BG,Pro Swim Jig 3/8oz Bold Gill,2.16,Both,,
OSJ38DM,Pro Swim Jig 3/8oz Dirty Money,2.16,Both,,
OSJ38GS,Pro Swim Jig 3/8oz Ghost Shad,2.16,Both,,
OSJ38MGC,Pro Swim Jig 3/8oz Magic Craw,2.16,Both,,
OSJ38PR,Pro Swim Jig 3/8oz Perch,2.16,Both,,
OSJ38SC,Pro Swim Jig 3/8oz Shell Cracker,2.16,Both,,
OSJ38WL,Pro Swim Jig 3/8oz White Lightning,2.16,Both,,
OSJ38WR,Pro Swim Jig 3/8oz White/Rainbow,2.16,Both,,
OSJH14AS,Pro Swim Jig Heavy 1/4oz Alabama Shad,2.16,Both,,
OSJH14BB,Pro Swim Jig Heavy 1/4oz Black Blue,2.16,Both,,
OSJH14BG,Pro Swim Jig Heavy 1/4oz Bold Gill,2.16,Both,,
OSJH14DM,Pro Swim Jig Heavy 1/4oz Dirty Money,2.16,Both,,
OSJH14GS,Pro Swim Jig Heavy 1/4oz Ghost Shad,2.16,Both,,
OSJH14MGC,Pro Swim Jig Heavy 1/4oz Magic Craw,2.16,Both,,
OSJH14PR,Pro Swim Jig Heavy 1/4oz Perch,2.16,Both,,
OSJH14WL,Pro Swim Jig Heavy 1/4oz White Lightning,2.16,Both,,
OSJH14WR,Pro Swim Jig Heavy 1/4oz White Rainbow,2.16,Both,,
OSJH38AS,Pro Swim Jig Heavy 3/8oz Alabama Shad,2.16,Both,,
OSJH38BB,Pro Swim Jig Heavy 3/8oz Black Blue,2.16,Both,,
OSJH38BG,Pro Swim Jig Heavy 3/8oz Bold Gill,2.16,Both,,
OSJH38DM,Pro Swim Jig Heavy 3/8oz Dirty Money,2.16,Both,,
OSJH38GS,Pro Swim Jig Heavy 3/8oz Ghost Shad,2.16,Both,,
OSJH38MGC,Pro Swim Jig Heavy 3/8oz Magic Craw,2.16,Both,,
OSJH38PR,Pro Swim Jig Heavy 3/8oz Perch,2.16,Both,,
OSJH38WL,Pro Swim Jig Heavy 3/8oz White Lightning,2.16,Both,,
OSJH38WR,Pro Swim Jig Heavy 3/8oz White Rainbow,2.16,Both,,
OSFJ38BBA,Stealth Fighter Jig 3/8oz Blk/Brown Amber,3.2,Both,,
OSFJ38BM,Stealth Fighter Jig 3/8oz Bream,3.2,Both,,
OSFJ38BSH,Stealth Fighter Jig 3/8oz Black Sapphire,3.2,Both,,
OSFJ38BT,Stealth Fighter Jig 3/8oz Black Light,3.2,Both,,
OSFJ38FC,Stealth Fighter Jig 3/8oz Fighter Craw,3.2,Both,,
OSFJ38MC,Stealth Fighter Jig 3/8oz Money Craw,3.2,Both,,
OSFJ12BBA,Stealth Fighter Jig 1/2oz Blk/Brown Amber,3.2,Both,,
OSFJ12BM,Stealth Fighter Jig 1/2oz Bream,3.2,Both,,
OSFJ12BSH,Stealth Fighter Jig 1/2oz Black Sapphire,3.2,Both,,
OSFJ12BT,Stealth Fighter Jig 1/2oz  Black Light,3.2,Both,,
OSFJ12FC,Stealth Fighter Jig 1/2oz Fighter Craw,3.2,Both,,
OSFJ12MC,Stealth Fighter Jig 1/2oz Money Craw,3.2,Both,,
OSFJ58BBA,Stealth Fighter Jig 5/8oz Blk/Brown Amber,3.2,Both,,
