sku,name,cost,wholesale_price,msrp,is_discontinued,qty_zoey,qty_shopify,on_hand,units_4w,units_13w,units_52w,rev_zoey_30d,rev_shopify_30d,rev_zoey_7d,rev_shopify_7d,rev_total_30d,rev_total_7d,daily_vel_4w,daily_vel_13w,daily_vel,days_cover,months_cover,lead_time_days,target_units,suggested_order_qty,reorder_flag,overstock_flag,inventory_value,excess_inv_value,blended_price,gp_per_sku
OSFJ12MC,Stealth Fighter Jig 1/2oz Money Craw,3.2,4.92,8.99,False,0.0,3.0,3.0,27.0,77.0,99.0,0.0,279.72,0.0,79.92,279.72,79.92,0.9642857142857143,0.8461538461538461,0.8461538461538461,3.5,0.1,180,169.0,166.0,True,False,9.6,0.0,6.14,8.82
OGSH31630W,Golden Eye Swimmer Head 3/16oz (3/0) White - 2pk,1.82,3.47,5.99,False,0.0,3.0,3.0,13.0,49.0,128.0,0.0,77.87,0.0,11.98,77.87,11.98,0.4642857142857143,0.5384615384615384,0.5384615384615384,5.6,0.2,180,108.0,105.0,True,False,5.46,0.0,4.23,7.23
OED16B,Eyedrop 1/16oz Black,3.5,6.17,10.29,False,18.0,0.0,18.0,36.0,218.0,270.0,37.02,308.7,0.0,0.0,345.72,0.0,1.2857142857142858,2.3956043956043955,2.3956043956043955,7.5,0.3,180,479.0,461.0,True,False,63.0,0.0,7.41,70.38
112-LOB-A,Jig Life Hat,15.0,29.99,29.99,False,0.0,1.0,1.0,1.0,12.0,18.0,0.0,29.99,0.0,29.99,29.99,29.99,0.03571428571428571,0.13186813186813187,0.13186813186813187,7.6,0.3,180,26.0,25.0,True,False,15.0,0.0,29.99,14.99
OSJH38DM,Pro Swim Jig Heavy 3/8oz Dirty Money,2.16,3.47,5.99,False,6.0,3.0,9.0,16.0,81.0,173.0,19.74,59.9,0.0,11.98,79.64,11.98,0.5714285714285714,0.8901098901098901,0.8901098901098901,10.1,0.4,180,178.0,169.0,True,False,19.44,0.0,4.23,18.63
OJPJ14BG,JackPot Jig 1/4oz Bluegill,3.21,5.21,8.99,False,12.0,0.0,12.0,24.0,98.0,178.0,59.28,125.86,0.0,8.99,185.14,8.99,0.8571428571428571,1.0769230769230769,1.0769230769230769,11.1,0.4,180,215.0,203.0,True,False,38.52,0.0,6.34,37.56
OMJ1830BLK,Money Jig 1/8oz (3/0) Black - 4pk,2.36,4.05,6.99,False,0.0,9.0,9.0,4.0,55.0,192.0,0.0,27.96,0.0,0.0,27.96,0.0,0.14285714285714285,0.6043956043956044,0.6043956043956044,14.9,0.5,180,121.0,112.0,True,False,21.24,0.0,4.93,23.13
OJJ38PBJ,Juice Jig 3/8oz PB&J,1.96,3.47,5.99,False,30.0,0.0,30.0,71.0,164.0,405.0,159.0,137.77,0.0,0.0,296.77,0.0,2.5357142857142856,1.8021978021978022,1.8021978021978022,16.6,0.6,180,360.0,330.0,True,False,58.8,0.0,4.23,68.1
OJJ38BS,Juice Jig 3/8oz Bruise,1.96,3.47,5.99,False,5.0,0.0,5.0,0.0,25.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27472527472527475,0.27472527472527475,18.2,0.6,180,55.0,50.0,True,False,9.8,0.0,4.23,11.35
OCFJ58BSH,Cage Fighter Jig 5/8oz Black Sapphire,3.2,4.92,8.99,False,0.0,2.0,2.0,0.0,9.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989010989010989,0.0989010989010989,20.2,0.7,180,20.0,18.0,True,False,6.4,0.0,6.14,5.88
